game_id,agent_id,model,survived,was_winner,game_outcome,total_rounds,reflection
20251209_011156,A,openai/gpt-5.1,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20251209_011156,B,openai/gpt-5.1,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20251209_011156,C,openai/gpt-5.1,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20251209_011156,D,dummy,False,False,ALL_DEAD,4,[No reflection - reflection_mode is 'none']
20251209_011954,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_011954,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_011954,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_011954,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012421,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012421,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012421,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012421,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012629,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012629,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012629,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012629,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012945,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012945,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012945,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_012945,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013248,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013248,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013248,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013248,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013520,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013520,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013520,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013520,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013700,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013700,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013700,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013700,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013921,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013921,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013921,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_013921,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014148,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014148,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014148,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014148,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014257,A,openai/gpt-5.1,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014257,B,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014257,C,openai/gpt-5.1,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20251209_014257,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
