game_id,agent_id,model,survived,was_winner,game_outcome,total_rounds,reflection
20260519_230306,A,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260519_230306,B,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260519_230306,C,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260519_230306,D,dummy,False,False,SUCCESS,4,[No reflection - reflection_mode is 'none']
20260519_230656,A,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_230656,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_230656,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_230656,D,dummy,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231014,A,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260519_231014,B,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260519_231014,C,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260519_231014,D,dummy,True,False,SUCCESS,3,[No reflection - reflection_mode is 'none']
20260519_231436,A,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231436,B,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231436,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231436,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231704,A,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231704,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231704,C,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231704,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231941,A,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231941,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231941,C,openai:gpt-5.4-mini-2026-03-17,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_231941,D,dummy,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_232156,A,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_232156,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_232156,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_232156,D,dummy,False,False,SUCCESS,2,[No reflection - reflection_mode is 'none']
20260519_232350,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232350,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232350,C,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232350,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232447,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232447,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232447,C,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232447,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232522,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232522,B,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232522,C,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232522,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232620,A,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232620,B,openai:gpt-5.4-mini-2026-03-17,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232620,C,openai:gpt-5.4-mini-2026-03-17,True,True,SUCCESS,1,[No reflection - reflection_mode is 'none']
20260519_232620,D,dummy,True,False,SUCCESS,1,[No reflection - reflection_mode is 'none']
